all locations,all,,,
,,,,
,,,,
united states,USA,,,
,alabama,AL,,
,,auburn,auburn,
,,birmingham,bham,
,,dothan,dothan,
,,florence / muscle shoals,shoals,
,,gadsden-anniston,gadsden,
,,huntsville / decatur,huntsville,
,,mobile,mobile,
,,montgomery,montgomery,
,,tuscaloosa,tuscaloosa,
,,,,
,alaska,AK,,
,,anchorage / mat-su,anchorage,
,,fairbanks,fairbanks,
,,kenai peninsula,kenai,
,,southeast alaska,juneau,
,,,,
,arizona,AZ,,
,,flagstaff / sedona,flagstaff,
,,mohave county,mohave,
,,phoenix,phoenix,
,,,central/south phx,cph
,,,east valley,evl
,,,phx north,nph
,,,west valley,wvl
,,prescott,prescott,
,,show low,showlow,
,,sierra vista,sierravista,
,,tucson,tucson,
,,yuma,yuma,
,,,,
,arkansas,AR,,
,,fayetteville,fayar,
,,fort smith,fortsmith,
,,jonesboro,jonesboro,
,,little rock,littlerock,
,,texarkana,texarkana,
,,,,
,california,CA,,
,,bakersfield,bakersfield,
,,chico,chico,
,,fresno / madera,fresno,
,,gold country,goldcountry,
,,hanford-corcoran,hanford,
,,humboldt county,humboldt,
,,imperial county,imperial,
,,inland empire,inlandempire,
,,los angeles,losangeles,
,,,SF valley,sfv
,,,antelope valley,ant
,,,central LA,lac
,,,long beach / 562,lgb
,,,san gabriel valley,sgv
,,,westside-southbay,wst
,,mendocino county,mendocino,
,,merced,merced,
,,modesto,modesto,
,,monterey bay,monterey,
,,orange county,orangecounty,
,,palm springs,palmsprings,
,,redding,redding,
,,sacramento,sacramento,
,,san diego,sandiego,
,,,city of san diego,csd
,,,east SD county,esd
,,,north SD county,nsd
,,,south SD county,ssd
,,san francisco bay area,sfbay,
,,,east bay,eby
,,,north bay,nby
,,,peninsula,pen
,,,san francisco,sfc
,,,santa cruz,scz
,,,south bay,sby
,,san luis obispo,slo,
,,santa barbara,santabarbara,
,,santa maria,santamaria,
,,siskiyou county,siskiyou,
,,stockton,stockton,
,,susanville,susanville,
,,ventura county,ventura,
,,visalia-tulare,visalia,
,,yuba-sutter,yubasutter,
,,,,
,colorado,CO,,
,,boulder,boulder,
,,colorado springs,cosprings,
,,denver,denver,
,,eastern CO,eastco,
,,fort collins / north CO,fortcollins,
,,high rockies,rockies,
,,pueblo,pueblo,
,,western slope,westslope,
,,,,
,connecticut,CT,,
,,eastern CT,newlondon,
,,hartford,hartford,
,,new haven,newhaven,
,,northwest CT,nwct,
,,,,
,delaware,DE,,
,,delaware,delaware,
,,,,
,district of columbia,DC,,
,,washington d.c.,washingtondc,
,,,district of columbia,doc
,,,maryland,mld
,,,northern virginia,nva
,,,,
,florida,FL,,
,,daytona beach,daytona,
,,florida keys,keys,
,,fort lauderdale,fortlauderdale,
,,,broward county,brw
,,,miami / dade,mdc
,,,palm beach co,pbc
,,ft myers / SW florida,fortmyers,
,,,charlotte co,chl
,,,collier co,col
,,,lee county,lee
,,gainesville,gainesville,
,,heartland florida,cfl,
,,jacksonville,jacksonville,
,,lakeland,lakeland,
,,north central FL,lakecity,
,,ocala,ocala,
,,okaloosa / walton,okaloosa,
,,orlando,orlando,
,,panama city,panamacity,
,,pensacola,pensacola,
,,sarasota-bradenton,sarasota,
,,south florida,miami,
,,,broward county,brw
,,,miami / dade,mdc
,,,palm beach co,pbc
,,space coast,spacecoast,
,,st augustine,staugustine,
,,tallahassee,tallahassee,
,,tampa bay area,tampa,
,,,hernando co,hdo
,,,hillsborough co,hil
,,,pasco co,psc
,,,pinellas co,pnl
,,treasure coast,treasure,
,,west palm beach,westpalmbeach,
,,,broward county,brw
,,,miami / dade,mdc
,,,palm beach co,pbc
,,,,
,georgia,GA,,
,,albany,albanyga,
,,athens,athensga,
,,atlanta,atlanta,
,,,atlanta,atl
,,,otp east,eat
,,,otp north,nat
,,,otp south,sat
,,,otp west,wat
,,augusta,augusta,
,,brunswick,brunswick,
,,columbus,columbusga,
,,macon / warner robins,macon,
,,northwest GA,nwga,
,,savannah / hinesville,savannah,
,,statesboro,statesboro,
,,valdosta,valdosta,
,,,,
,hawaii,HI,,
,,hawaii,honolulu,
,,,big island,big
,,,kauai,kau
,,,maui,mau
,,,molokai,mol
,,,oahu,oah
,,,,
,idaho,ID,,
,,boise,boise,
,,east idaho,eastidaho,
,,lewiston / clarkston,lewiston,
,,twin falls,twinfalls,
,,,,
,illinois,IL,,
,,bloomington-normal,bn,
,,champaign urbana,chambana,
,,chicago,chicago,
,,,city of chicago,chc
,,,north chicagoland,nch
,,,northwest indiana,nwi
,,,northwest suburbs,nwc
,,,south chicagoland,sox
,,,west chicagoland,wcl
,,decatur,decatur,
,,la salle co,lasalle,
,,mattoon-charleston,mattoon,
,,peoria,peoria,
,,rockford,rockford,
,,southern illinois,carbondale,
,,springfield,springfieldil,
,,western IL,quincy,
,,,,
,indiana,IN,,
,,bloomington,bloomington,
,,evansville,evansville,
,,fort wayne,fortwayne,
,,indianapolis,indianapolis,
,,kokomo,kokomo,
,,lafayette / west lafayette,tippecanoe,
,,muncie / anderson,muncie,
,,richmond,richmondin,
,,south bend / michiana,southbend,
,,terre haute,terrehaute,
,,,,
,iowa,IA,,
,,ames,ames,
,,cedar rapids,cedarrapids,
,,des moines,desmoines,
,,dubuque,dubuque,
,,fort dodge,fortdodge,
,,iowa city,iowacity,
,,mason city,masoncity,
,,quad cities,quadcities,
,,sioux city,siouxcity,
,,southeast IA,ottumwa,
,,waterloo / cedar falls,waterloo,
,,,,
,kansas,KS,,
,,lawrence,lawrence,
,,manhattan,ksu,
,,northwest KS,nwks,
,,salina,salina,
,,southeast KS,seks,
,,southwest KS,swks,
,,topeka,topeka,
,,wichita,wichita,
,,,,
,kentucky,KY,,
,,bowling green,bgky,
,,eastern kentucky,eastky,
,,lexington,lexington,
,,louisville,louisville,
,,owensboro,owensboro,
,,western KY,westky,
,,,,
,louisiana,LA,,
,,baton rouge,batonrouge,
,,central louisiana,cenla,
,,houma,houma,
,,lafayette,lafayette,
,,lake charles,lakecharles,
,,monroe,monroe,
,,new orleans,neworleans,
,,shreveport,shreveport,
,,,,
,maine,ME,,
,,maine,maine,
,,,,
,maryland,MD,,
,,annapolis,annapolis,
,,baltimore,baltimore,
,,eastern shore,easternshore,
,,frederick,frederick,
,,southern maryland,smd,
,,western maryland,westmd,
,,,,
,massachusetts,MA,,
,,boston,boston,
,,,boston/camb/brook,gbs
,,,metro west,bmw
,,,north shore,nos
,,,northwest/merrimack,nwb
,,,south shore,sob
,,cape cod / islands,capecod,
,,south coast,southcoast,
,,western massachusetts,westernmass,
,,worcester / central MA,worcester,
,,,,
,michigan,MI,,
,,ann arbor,annarbor,
,,battle creek,battlecreek,
,,central michigan,centralmich,
,,detroit metro,detroit,
,,,macomb co,mcb
,,,oakland co,okl
,,,wayne co,wyn
,,flint,flint,
,,grand rapids,grandrapids,
,,holland,holland,
,,jackson,jxn,
,,kalamazoo,kalamazoo,
,,lansing,lansing,
,,monroe,monroemi,
,,muskegon,muskegon,
,,northern michigan,nmi,
,,port huron,porthuron,
,,saginaw-midland-baycity,saginaw,
,,southwest michigan,swmi,
,,the thumb,thumb,
,,upper peninsula,up,
,,,,
,minnesota,MN,,
,,bemidji,bemidji,
,,brainerd,brainerd,
,,duluth / superior,duluth,
,,mankato,mankato,
,,minneapolis / st paul,minneapolis,
,,,anok/chis/isa,ank
,,,carv/sher/wri,csw
,,,dakota/scott,dak
,,,hennepin co,hnp
,,,ramsey co,ram
,,,washington/WI,wsh
,,rochester,rmn,
,,southwest MN,marshall,
,,st cloud,stcloud,
,,,,
,mississippi,MS,,
,,gulfport / biloxi,gulfport,
,,hattiesburg,hattiesburg,
,,jackson,jackson,
,,meridian,meridian,
,,north mississippi,northmiss,
,,southwest MS,natchez,
,,,,
,missouri,MO,,
,,columbia / jeff city,columbiamo,
,,joplin,joplin,
,,kansas city,kansascity,
,,kirksville,kirksville,
,,lake of the ozarks,loz,
,,southeast missouri,semo,
,,springfield,springfield,
,,st joseph,stjoseph,
,,st louis,stlouis,
,,,,
,montana,MT,,
,,billings,billings,
,,bozeman,bozeman,
,,butte,butte,
,,great falls,greatfalls,
,,helena,helena,
,,kalispell,kalispell,
,,missoula,missoula,
,,montana (old),montana,
,,,,
,nebraska,NE,,
,,grand island,grandisland,
,,lincoln,lincoln,
,,north platte,northplatte,
,,omaha / council bluffs,omaha,
,,scottsbluff / panhandle,scottsbluff,
,,,,
,nevada,NV,,
,,elko,elko,
,,las vegas,lasvegas,
,,reno / tahoe,reno,
,,,,
,new hampshire,NH,,
,,new hampshire,nh,
,,,,
,new jersey,NJ,,
,,central NJ,cnj,
,,jersey shore,jerseyshore,
,,north jersey,newjersey,
,,south jersey,southjersey,
,,,,
,new mexico,NM,,
,,albuquerque,albuquerque,
,,clovis / portales,clovis,
,,farmington,farmington,
,,las cruces,lascruces,
,,roswell / carlsbad,roswell,
,,santa fe / taos,santafe,
,,,,
,new york,NY,,
,,albany,albany,
,,binghamton,binghamton,
,,buffalo,buffalo,
,,catskills,catskills,
,,chautauqua,chautauqua,
,,elmira-corning,elmira,
,,finger lakes,fingerlakes,
,,glens falls,glensfalls,
,,hudson valley,hudsonvalley,
,,ithaca,ithaca,
,,long island,longisland,
,,new york city,newyork,
,,,bronx,brx
,,,brooklyn,brk
,,,fairfield,fct
,,,long island,lgi
,,,manhattan,mnh
,,,new jersey,jsy
,,,queens,que
,,,staten island,stn
,,,westchester,wch
,,oneonta,oneonta,
,,plattsburgh-adirondacks,plattsburgh,
,,potsdam-canton-massena,potsdam,
,,rochester,rochester,
,,syracuse,syracuse,
,,twin tiers NY/PA,twintiers,
,,utica-rome-oneida,utica,
,,watertown,watertown,
,,,,
,north carolina,NC,,
,,asheville,asheville,
,,boone,boone,
,,charlotte,charlotte,
,,eastern NC,eastnc,
,,fayetteville,fayetteville,
,,greensboro,greensboro,
,,hickory / lenoir,hickory,
,,jacksonville,onslow,
,,outer banks,outerbanks,
,,raleigh / durham / CH,raleigh,
,,wilmington,wilmington,
,,winston-salem,winstonsalem,
,,,,
,north dakota,ND,,
,,bismarck,bismarck,
,,fargo / moorhead,fargo,
,,grand forks,grandforks,
,,north dakota,nd,
,,,,
,ohio,OH,,
,,akron / canton,akroncanton,
,,ashtabula,ashtabula,
,,athens,athensohio,
,,chillicothe,chillicothe,
,,cincinnati,cincinnati,
,,cleveland,cleveland,
,,columbus,columbus,
,,dayton / springfield,dayton,
,,lima / findlay,limaohio,
,,mansfield,mansfield,
,,sandusky,sandusky,
,,toledo,toledo,
,,tuscarawas co,tuscarawas,
,,youngstown,youngstown,
,,zanesville / cambridge,zanesville,
,,,,
,oklahoma,OK,,
,,lawton,lawton,
,,northwest OK,enid,
,,oklahoma city,oklahomacity,
,,stillwater,stillwater,
,,tulsa,tulsa,
,,,,
,oregon,OR,,
,,bend,bend,
,,corvallis/albany,corvallis,
,,east oregon,eastoregon,
,,eugene,eugene,
,,klamath falls,klamath,
,,medford-ashland,medford,
,,oregon coast,oregoncoast,
,,portland,portland,
,,,clackamas co,clc
,,,clark/cowlitz,clk
,,,columbia gorge,grg
,,,multnomah co,mlt
,,,north coast,nco
,,,washington co,wsc
,,,yamhill co,yam
,,roseburg,roseburg,
,,salem,salem,
,,,,
,pennsylvania,PA,,
,,altoona-johnstown,altoona,
,,cumberland valley,chambersburg,
,,erie,erie,
,,harrisburg,harrisburg,
,,lancaster,lancaster,
,,lehigh valley,allentown,
,,meadville,meadville,
,,philadelphia,philadelphia,
,,pittsburgh,pittsburgh,
,,poconos,poconos,
,,reading,reading,
,,scranton / wilkes-barre,scranton,
,,state college,pennstate,
,,williamsport,williamsport,
,,york,york,
,,,,
,rhode island,RI,,
,,rhode island,providence,
,,,,
,south carolina,SC,,
,,charleston,charleston,
,,columbia,columbia,
,,florence,florencesc,
,,greenville / upstate,greenville,
,,hilton head,hiltonhead,
,,myrtle beach,myrtlebeach,
,,,,
,south dakota,SD,,
,,northeast SD,nesd,
,,pierre / central SD,csd,
,,rapid city / west SD,rapidcity,
,,sioux falls / SE SD,siouxfalls,
,,south dakota,sd,
,,,,
,tennessee,TN,,
,,chattanooga,chattanooga,
,,clarksville,clarksville,
,,cookeville,cookeville,
,,jackson,jacksontn,
,,knoxville,knoxville,
,,memphis,memphis,
,,nashville,nashville,
,,tri-cities,tricities,
,,,,
,texas,TX,,
,,abilene,abilene,
,,amarillo,amarillo,
,,austin,austin,
,,beaumont / port arthur,beaumont,
,,brownsville,brownsville,
,,college station,collegestation,
,,corpus christi,corpuschristi,
,,dallas / fort worth,dallas,
,,,dallas,dal
,,,fort worth,ftw
,,,mid cities,mdf
,,,north DFW,ndf
,,,south DFW,sdf
,,deep east texas,nacogdoches,
,,del rio / eagle pass,delrio,
,,el paso,elpaso,
,,galveston,galveston,
,,houston,houston,
,,killeen / temple / ft hood,killeen,
,,laredo,laredo,
,,lubbock,lubbock,
,,mcallen / edinburg,mcallen,
,,odessa / midland,odessa,
,,san angelo,sanangelo,
,,san antonio,sanantonio,
,,san marcos,sanmarcos,
,,southwest TX,bigbend,
,,texoma,texoma,
,,tyler / east TX,easttexas,
,,victoria,victoriatx,
,,waco,waco,
,,wichita falls,wichitafalls,
,,,,
,utah,UT,,
,,logan,logan,
,,ogden-clearfield,ogden,
,,provo / orem,provo,
,,salt lake city,saltlakecity,
,,st george,stgeorge,
,,,,
,vermont,VT,,
,,vermont,burlington,
,,,,
,virginia,VA,,
,,charlottesville,charlottesville,
,,danville,danville,
,,fredericksburg,fredericksburg,
,,hampton roads,norfolk,
,,harrisonburg,harrisonburg,
,,lynchburg,lynchburg,
,,new river valley,blacksburg,
,,richmond,richmond,
,,roanoke,roanoke,
,,southwest VA,swva,
,,winchester,winchester,
,,,,
,washington,WA,,
,,bellingham,bellingham,
,,kennewick-pasco-richland,kpr,
,,moses lake,moseslake,
,,olympic peninsula,olympic,
,,pullman / moscow,pullman,
,,seattle-tacoma,seattle,
,,,eastside,est
,,,kitsap co,kit
,,,olympia,oly
,,,seattle,see
,,,snohomish co,sno
,,,south king,skc
,,,tacoma,tac
,,skagit / island / SJI,skagit,
,,spokane / coeur d'alene,spokane,
,,wenatchee,wenatchee,
,,yakima,yakima,
,,,,
,west virginia,WV,,
,,charleston,charlestonwv,
,,eastern panhandle,martinsburg,
,,huntington-ashland,huntington,
,,morgantown,morgantown,
,,northern panhandle,wheeling,
,,parkersburg-marietta,parkersburg,
,,southern WV,swv,
,,west virginia (old),wv,
,,,,
,wisconsin,WI,,
,,appleton-oshkosh-FDL,appleton,
,,eau claire,eauclaire,
,,green bay,greenbay,
,,janesville,janesville,
,,kenosha-racine,racine,
,,la crosse,lacrosse,
,,madison,madison,
,,milwaukee,milwaukee,
,,northern WI,northernwi,
,,sheboygan,sheboygan,
,,wausau,wausau,
,,,,
,wyoming,WY,,
,,wyoming,wyoming,
,,,,
,,,,
,,,,
canada,Canada,,,
,alberta,Alberta,,
,,calgary,calgary,
,,edmonton,edmonton,
,,ft mcmurray,ftmcmurrary,
,,lethbridge,lethbridge,
,,medicine hat,medicinehat,
,,peace river country,peacerivercountry,
,,red deer,reddeer,
,,,,
,british columbia,British Columbia,,
,,cariboo,cariboo,
,,comox valley,comoxvalley,
,,fraser valley,fraservalley,
,,kamloops,kamloops,
,,kelowna / okanagan,kelowna,
,,kootenays,kootenays,
,,nanaimo,nanaimo,
,,prince george,princegeorge,
,,skeena-bulkley,skeena,
,,sunshine coast,sunshinecoast,
,,vancouver,vancouver,
,,victoria,victoria,
,,whistler,whistler,
,,,,
,manitoba,Manitoba,,
,,winnipeg,winnipeg,
,,,,
,new brunswick,New Brunswick,,
,,,,
,newfoundland and labrador,Newfoundland and Labrador,,
,,,,
,northwest territories,Northwest Territories,,
,,territories,territories,
,,yellowknife,yellowknife,
,,,,
,nova scotia,Nova Scotia,,
,,,,
,ontario,Ontario,,
,,barrie,barrie,
,,belleville,belleville,
,,brantford-woodstock,brantford,
,,chatham-kent,chatham,
,,cornwall,cornwall,
,,guelph,guelph,
,,hamilton-burlington,hamilton,
,,kingston,kingston,
,,kitchener-waterloo-cambridge,kitchener,
,,london,london,
,,niagara region,niagara region,
,,ottawa-hull-gatineau,ottawa,
,,owen sound,owen sound,
,,peterborough,peterborough,
,,sarnia,sarnia,
,,sault ste marie,sault ste marie,
,,sudbury,sudbury,
,,thunder bay,thunder bay,
,,toronto,toronto,
,,windsor,windsor,
,,,,
,prince edward island,Prince Edward Island,,
,,,,
,quebec,Quebec,,
,,montreal,montreal,
,,quebec city,quebeccity,
,,saguenay,saguenay,
,,sherbrooke,sherbrooke,
,,trois-rivieres,trois,
,,,,
,saskatchewan,Saskatchewan,,
,,regina,regina,
,,saskatoon,saskatoon,
,,,,
,yukon territory,Yukon Territory,,
,,,,
,,,,
,,,,
