"3taps code","default?",,"city","state","loc_1","location 1","url","loc_2","location_2",,"Display City State","Display State",,"lat-long"
"AUO",,,"US","alabama","auburn","auburn","auburn.craigslist.org",,,,"Auburn AL","Alabama",,"(32.609857, -85.480782)"
"BHM",,,"US","alabama","bham","birmingham","bham.craigslist.org",,,,"Birmingham AL","Alabama",,"(33.520661, -86.80249)"
"DHN",,,"US","alabama","dothan","dothan","dothan.craigslist.org",,,,"Dothan AL","Alabama",,"(31.223231, -85.390489)"
"GAD",,,"US","alabama","gadsden","gadsden-anniston","gadsden.craigslist.org",,,,"Gadsden-Anniston AL","Alabama",,"(34.014264, -86.006639)"
"HSV",,,"US","alabama","huntsville","huntsville / decatur","huntsville.craigslist.org",,,,"Huntsville/Decatur AL","Alabama",,"(34.730369, -86.586104)"
"MOB",,,"US","alabama","mobile","mobile","mobile.craigslist.org",,,,"Mobile AL","Alabama",,"(30.694357, -88.043054)"
"MGM",,,"US","alabama","montgomery","montgomery","montgomery.craigslist.org",,,,"Montgomery AL","Alabama",,"(32.366805, -86.299969)"
"MSL",,,"US","alabama","shoals","florence / muscle shoals","shoals.craigslist.org",,,,"Florence/Muscle Shoals AL","Alabama",,"(34.7312, -87.70253)"
"TCL",,,"US","alabama","tuscaloosa","tuscaloosa","tuscaloosa.craigslist.org",,,,"Tuscaloosa AL","Alabama",,"(33.209841, -87.569173)"
"ANC",,,"US","alaska","anchorage","anchorage / mat-su","anchorage.craigslist.org",,,,"Anchorage/Mat-Su AK","Alaska",,"(61.218056, -149.900278)"
"AKZ",,,"US","alaska","fairbanks","fairbanks","fairbanks.craigslist.org",,,,"Fairbanks AK","Alaska",,"(64.837778, -147.716389)"
"AKZ",,,"US","alaska","juneau","southeast alaska","juneau.craigslist.org",,,,"Southeast AK","Alaska",,"(58.301944, -134.419722)"
"AKZ",,,"US","alaska","kenai","kenai peninsula","kenai.craigslist.org",,,,"Kenai Peninsula AK","Alaska",,"(60.085849, -151.382264)"
"FLG",,,"US","arizona","flagstaff","flagstaff / sedona","flagstaff.craigslist.org",,,,"Flagstaff/Sedona AZ","Arizona",,"(35.19793933463111, -111.63928985595703)"
"AZZ",,,"US","arizona","mohave","mohave county","mohave.craigslist.org",,,,"Mohave Co AZ","Arizona",,"(35.20972164522138, -113.75244140625)"
"PHX",,,"US","arizona","phoenix","phoenix","phoenix.craigslist.org","cph","central/south phx",,"Phoenix AZ","Arizona",,"(33.448377, -112.074037)"
"PHX",,,"US","arizona","phoenix","phoenix","phoenix.craigslist.org","evl","east valley",,"Phoenix AZ","Arizona",,"(33.448377, -112.074037)"
"PHX",,,"US","arizona","phoenix","phoenix","phoenix.craigslist.org","nph","phx north",,"Phoenix AZ","Arizona",,"(33.448377, -112.074037)"
"PHX",,,"US","arizona","phoenix","phoenix","phoenix.craigslist.org","wvl","west valley",,"Phoenix AZ","Arizona",,"(33.448377, -112.074037)"
"AZZ",,,"US","arizona","prescott","prescott","prescott.craigslist.org",,,,"Prescott AZ","Arizona",,"(34.540024, -112.468502)"
"AZZ",,,"US","arizona","showlow","show low","showlow.craigslist.org",,,,"Show Low AZ","Arizona",,"(34.254208, -110.029833)"
"AZZ",,,"US","arizona","sierravista","sierra vista","sierravista.craigslist.org",,,,"Sierra Vista AZ","Arizona",,"(31.5455, -110.277286)"
"TUS",,,"US","arizona","tucson","tucson","tucson.craigslist.org",,,,"Tucson AZ","Arizona",,"(32.221743, -110.926479)"
"YUM",,,"US","arizona","yuma","yuma","yuma.craigslist.org",,,,"Yuma AZ","Arizona",,"(32.692651, -114.627692)"
"FYV",,,"US","arkansas","fayar","fayetteville","fayar.craigslist.org",,,,"Fayetteville AR","Arkansas",,"(36.06258, -94.157426)"
"FSM",,,"US","arkansas","fortsmith","fort smith","fortsmith.craigslist.org",,,,"Fort Smith AR","Arkansas",,"(35.385924, -94.398547)"
"JBR",,,"US","arkansas","jonesboro","jonesboro","jonesboro.craigslist.org",,,,"Jonesboro AR","Arkansas",,"(35.842297, -90.704279)"
"LIT",,,"US","arkansas","littlerock","little rock","littlerock.craigslist.org",,,,"Little Rock AR","Arkansas",,"(34.746481, -92.289595)"
"TXZ",,,"US","arkansas","texarkana","texarkana","texarkana.craigslist.org",,,,"Texarkana TX","Texas",,"(33.441792, -94.037688)"
"BFL",,,"US","california","bakersfield","bakersfield","bakersfield.craigslist.org",,,,"Bakersfield CA","California",,"(35.373292, -119.018712)"
"CIC",,,"US","california","chico","chico","chico.craigslist.org",,,,"Chico CA","California",,"(39.728494, -121.837478)"
"FAT",,,"US","california","fresno","fresno / madera","fresno.craigslist.org",,,,"Fresno/Madera CA","California",,"(36.747727, -119.772366)"
"CAZ",,,"US","california","goldcountry","gold country","goldcountry.craigslist.org",,,,"Gold Country CA","California",,"(39.219061, -121.061061)"
"CAZ",,,"US","california","hanford","hanford-corcoran","hanford.craigslist.org",,,,"Hanford-Corcoran CA","California",,"(36.32745, -119.645684)"
"CAZ",,,"US","california","humboldt","humboldt county","humboldt.craigslist.org",,,,"Humboldt Co CA","California",,"(40.745006, -123.869509)"
"CAZ",,,"US","california","imperial","imperial county","imperial.craigslist.org",,,,"Imperial Co CA","California",,"(33.011369, -115.473355)"
"CAZ",,,"US","california","inlandempire","inland empire","inlandempire.craigslist.org",,,,"Inland Empire CA","California",,"(36.220134, -116.881684)"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","wst","westside-southbay",,"Los Angeles CA","California",,"(34.052234, -118.243685)"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","sfv","SF valley",,"Los Angeles CA","California",,"(34.052234, -118.243685)"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","lac","central LA",,"Los Angeles CA","California",,"(34.052234, -118.243685)"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","sgv","san gabriel valley",,"Los Angeles CA","California",,"(34.052234, -118.243685)"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","lgb","long beach / 562",,"Los Angeles CA","California",,"(34.052234, -118.243685)"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","ant","antelope valley",,"Los Angeles CA","California",,"(34.052234, -118.243685)"
"CAZ",,,"US","california","mendocino","mendocino county","mendocino.craigslist.org",,,,"Mendocino Co CA","California",,"(39.550019, -123.438353)"
"MCE",,,"US","california","merced","merced","merced.craigslist.org",,,,"Merced CA","California",,"(37.302163, -120.482968)"
"MOD",,,"US","california","modesto","modesto","modesto.craigslist.org",,,,"Modesto CA","California",,"(37.639097, -120.996878)"
"SNS",,,"US","california","monterey","monterey bay","monterey.craigslist.org",,,,"Monterey Bay CA","California",,"(36.600238, -121.894676)"
"LAX",,,"US","california","orangecounty","orange county","orangecounty.craigslist.org",,,,"Orange Co CA","California",,"(33.717471, -117.831143)"
"LAX",,,"US","california","palmsprings","palm springs","palmsprings.craigslist.org",,,,"Palm Springs CA","California",,"(33.830296, -116.545292)"
"CAZ",,,"US","california","redding","redding","redding.craigslist.org",,,,"Redding CA","California",,"(40.58654, -122.391675)"
"SAC",,,"US","california","sacramento","sacramento","sacramento.craigslist.org",,,,"Sacramento CA","California",,"(38.581572, -121.4944)"
"SAN",,,"US","california","sandiego","san diego","sandiego.craigslist.org","csd","city of san diego",,"San Diego CA","California",,"(32.715329, -117.157255)"
"SAN",,,"US","california","sandiego","san diego","sandiego.craigslist.org","nsd","north SD county",,"San Diego CA","California",,"(32.715329, -117.157255)"
"SAN",,,"US","california","sandiego","san diego","sandiego.craigslist.org","esd","east SD county",,"San Diego CA","California",,"(32.715329, -117.157255)"
"SAN",,,"US","california","sandiego","san diego","sandiego.craigslist.org","ssd","south SD county",,"San Diego CA","California",,"(32.715329, -117.157255)"
"SBA",,,"US","california","santabarbara","santa barbara","santabarbara.craigslist.org",,,,"Santa Barbara CA","California",,"(34.42083, -119.69819)"
"SBP",,,"US","california","santamaria","santa maria","santamaria.craigslist.org",,,,"Santa Maria CA","California",,"(34.953034, -120.435719)"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","sfc","san francisco",,"San Francisco Bay Area CA","California",,"(37.77493, -122.419416)"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","sby","south bay",,"San Francisco Bay Area CA","California",,"(37.77493, -122.419416)"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","eby","east bay",,"San Francisco Bay Area CA","California",,"(37.77493, -122.419416)"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","pen","peninsula",,"San Francisco Bay Area CA","California",,"(37.77493, -122.419416)"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","nby","north bay",,"San Francisco Bay Area CA","California",,"(37.77493, -122.419416)"
"SFO",,,"US","california","sfbay","san francisco bay area","sfbay.craigslist.org","scz","santa cruz",,"San Francisco Bay Area CA","California",,"(37.77493, -122.419416)"
"CAZ",,,"US","california","siskiyou","siskiyou county","siskiyou.craigslist.org",,,,"Siskiyou Co CA","California",,"(41.774326, -122.577013)"
"SBP","default",,"US","california","slo","san luis obispo","slo.craigslist.org",,,,"San Luis Obispo CA","California",,"(35.27897825479309, -120.65975189208984)"
"SCK",,,"US","california","stockton","stockton","stockton.craigslist.org",,,,"Stockton CA","California",,"(37.957702, -121.29078)"
"CAZ",,,"US","california","susanville","susanville","susanville.craigslist.org",,,,"Susanville CA","California",,"(40.416284, -120.653006)"
"LAX",,,"US","california","ventura","ventura county","ventura.craigslist.org",,,,"Ventura Co CA","California",,"(34.370488, -119.139064)"
"VIS",,,"US","california","visalia","visalia-tulare","visalia.craigslist.org",,,,"Visalia-Tulare CA","California",,"(34.370488, -119.139064)"
"CAZ",,,"US","california","yubasutter","yuba-sutter","yubasutter.craigslist.org",,,,"Yuba-Sutter CA","California",,"(39.140448, -121.616911)"
"DEN",,,"US","colorado","boulder","boulder","boulder.craigslist.org",,,,"Boulder CO","Colorado",,"(40.014986, -105.270546)"
"COS",,,"US","colorado","cosprings","colorado springs","cosprings.craigslist.org",,,,"Colorado Springs CO","Colorado",,"(38.833882, -104.821363)"
"DEN","default",,"US","colorado","denver","denver","denver.craigslist.org",,,,"Denver CO","Colorado",,"(39.739154, -104.984703)"
"COZ",,,"US","colorado","eastco","eastern CO","eastco.craigslist.org",,,,"Eastern CO CO","Colorado",,"(40.625542, -103.207709)"
"FNL",,,"US","colorado","fortcollins","fort collins / north CO","fortcollins.craigslist.org",,,,"Fort Collins/North CO","Colorado",,"(40.58526, -105.084423)"
"PUB",,,"US","colorado","pueblo","pueblo","pueblo.craigslist.org",,,,"Pueblo CO","Colorado",,"(38.254447, -104.609141)"
"COZ",,,"US","colorado","rockies","high rockies","rockies.craigslist.org",,,,"High Rockies CO","Colorado",,"(39.481654, -106.038352)"
"GJT",,,"US","colorado","westslope","western slope","westslope.craigslist.org",,,,"Western Slope CO","Colorado",,"(39.06387, -108.550649)"
"BDL",,,"US","connecticut","hartford","hartford","hartford.craigslist.org",,,,"Hartford CT","Connecticut",,"(41.763711, -72.685093)"
"HVN",,,"US","connecticut","newhaven","new haven","newhaven.craigslist.org",,,,"New Haven CT","Connecticut",,"(41.308153, -72.928158)"
"CTZ",,,"US","connecticut","newlondon","eastern CT","newlondon.craigslist.org",,,,"Eastern CT","Connecticut",,"(41.403432, -72.10591)"
"CTZ",,,"US","connecticut","nwct","northwest CT","nwct.craigslist.org",,,,"Northwest CT","Connecticut",,"(41.640175, -73.207184)"
"DOV",,,"US","delaware","delaware","delaware","delaware.craigslist.org",,,,"Delaware DE","Delaware",,"(38.910832, -75.52767)"
"VAZ",,,"US","district of columbia","washingtondc","washington","washingtondc.craigslist.org","doc","district of columbia",,"MD suburbs of DC","Maryland",,"(38.895112, -77.036366)"
"VAZ",,,"US","district of columbia","washingtondc","washington","washingtondc.craigslist.org","nva","northern virginia",,"MD suburbs of DC","Maryland",,"(38.895112, -77.036366)"
"VAZ",,,"US","district of columbia","washingtondc","washington","washingtondc.craigslist.org","mld","maryland",,"MD suburbs of DC","Maryland",,"(38.895112, -77.036366)"
"FLZ",,,"US","florida","cfl","heartland florida","cfl.craigslist.org",,,,"Heartland FL","Florida",,"(27.243935, -80.829783)"
"ORL",,,"US","florida","daytona","daytona beach","daytona.craigslist.org",,,,"Daytona Beach FL","Florida",,"(29.210815, -81.022833)"
"MIA",,,"US","florida","fortlauderdale","fort lauderdale","fortlauderdale.craigslist.org","mdc","miami / dade",,"Fort Lauderdale FL","Florida",,"(26.122308, -80.143379)"
"MIA",,,"US","florida","fortlauderdale","fort lauderdale","fortlauderdale.craigslist.org","brw","broward county",,"Fort Lauderdale FL","Florida",,"(26.122308, -80.143379)"
"MIA",,,"US","florida","fortlauderdale","fort lauderdale","fortlauderdale.craigslist.org","pbc","palm beach co",,"Fort Lauderdale FL","Florida",,"(26.122308, -80.143379)"
"RSW",,,"US","florida","fortmyers","ft myers / SW florida","fortmyers.craigslist.org","lee","lee county",,"Ft Myers/Southwest FL","Florida",,"(26.640628, -81.872308)"
"RSW",,,"US","florida","fortmyers","ft myers / SW florida","fortmyers.craigslist.org","chl","charlotte co",,"Ft Myers/Southwest FL","Florida",,"(26.640628, -81.872308)"
"RSW",,,"US","florida","fortmyers","ft myers / SW florida","fortmyers.craigslist.org","col","collier co",,"Ft Myers/Southwest FL","Florida",,"(26.640628, -81.872308)"
"GNV",,,"US","florida","gainesville","gainesville","gainesville.craigslist.org",,,,"Gainesville FL","Florida",,"(29.651634, -82.324826)"
"JAX","default",,"US","florida","jacksonville","jacksonville","jacksonville.craigslist.org",,,,"Jacksonville FL","Florida",,"(30.332184, -81.655651)"
"FLZ",,,"US","florida","keys","florida keys","keys.craigslist.org",,,,"Florida Keys FL","Florida",,"(24.551495208452366, -81.7825698852539)"
"FLZ",,,"US","florida","lakecity","north central FL","lakecity.craigslist.org",,,,"North Central FL","Florida",,"(30.189676, -82.63929)"
"LAL",,,"US","florida","lakeland","lakeland","lakeland.craigslist.org",,,,"Lakeland FL","Florida",,"(28.039465, -81.949804)"
"MIA","default",,"US","florida","miami","south florida","miami.craigslist.org","mdc","miami / dade",,"South FL","Florida",,"(25.788969, -80.226439)"
"MIA","default",,"US","florida","miami","south florida","miami.craigslist.org","brw","broward county",,"South FL","Florida",,"(25.788969, -80.226439)"
"MIA","default",,"US","florida","miami","south florida","miami.craigslist.org","pbc","palm beach co",,"South FL","Florida",,"(25.788969, -80.226439)"
"OCF",,,"US","florida","ocala","ocala","ocala.craigslist.org",,,,"Ocala FL","Florida",,"(29.187199, -82.140092)"
"VPS",,,"US","florida","okaloosa","okaloosa / walton","okaloosa.craigslist.org",,,,"Okaloosa/Walton FL","Florida",,"(30.57734, -86.661108)"
"ORL","default",,"US","florida","orlando","orlando","orlando.craigslist.org",,,,"Orlando FL","Florida",,"(28.538336, -81.379236)"
"PFN",,,"US","florida","panamacity","panama city","panamacity.craigslist.org",,,,"Panama City FL","Florida",,"(30.158813, -85.660206)"
"PNS",,,"US","florida","pensacola","pensacola","pensacola.craigslist.org",,,,"Pensacola FL","Florida",,"(30.421309, -87.216915)"
"SRQ",,,"US","florida","sarasota","sarasota-bradenton","sarasota.craigslist.org",,,,"Sarasota-Bradenton FL","Florida",,"(27.336435, -82.530653)"
"SUA",,,"US","florida","spacecoast","space coast","spacecoast.craigslist.org",,,,"Space Coast FL","Florida",,"(28.263933, -80.721442)"
"JAX",,,"US","florida","staugustine","st augustine","staugustine.craigslist.org",,,,"St Augustine FL","Florida",,"(29.894264, -81.313208)"
"TLH",,,"US","florida","tallahassee","tallahassee","tallahassee.craigslist.org",,,,"Tallahassee FL","Florida",,"(30.438256, -84.280733)"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","hdo","hernando co",,"Tampa Bay Area FL","Florida",,"(27.949436, -82.465144)"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","hil","hillsborough co",,"Tampa Bay Area FL","Florida",,"(27.949436, -82.465144)"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","psc","pasco co",,"Tampa Bay Area FL","Florida",,"(27.949436, -82.465144)"
"TPA",,,"US","florida","tampa","tampa bay area","tampa.craigslist.org","pnl","pinellas co",,"Tampa Bay Area FL","Florida",,"(27.949436, -82.465144)"
"SUA","default",,"US","florida","treasure","treasure coast","treasure.craigslist.org",,,,"Treasure Coast FL","Florida",,"(27.275833, -80.355)"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","mdc","miami / dade",,"West Palm Beach FL","Florida",,"(26.715342, -80.053375)"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","brw","broward county",,"West Palm Beach FL","Florida",,"(26.715342, -80.053375)"
"PBI",,,"US","florida","westpalmbeach","west palm beach","westpalmbeach.craigslist.org","pbc","palm beach co",,"West Palm Beach FL","Florida",,"(26.715342, -80.053375)"
"ABY",,,"US","georgia","albanyga","albany","albanyga.craigslist.org",,,,"Albany GA","Georgia",,"(31.578507, -84.155741)"
"AHN",,,"US","georgia","athensga","athens","athensga.craigslist.org",,,,"Athens GA","Georgia",,"(33.955802, -83.382366)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","atl","atlanta",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","nat","otp north",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","eat","otp east",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","sat","otp south",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"ATL",,,"US","georgia","atlanta","atlanta","atlanta.craigslist.org","wat","otp west",,"Atlanta GA","Georgia",,"(33.748995, -84.387982)"
"AGS",,,"US","georgia","augusta","augusta","augusta.craigslist.org",,,,"Augusta GA","Georgia",,"(33.474246, -82.00967)"
"GAZ",,,"US","georgia","brunswick","brunswick","brunswick.craigslist.org",,,,"Brunswick GA","Georgia",,"(31.149953, -81.491489)"
"CSG",,,"US","georgia","columbusga","columbus","columbusga.craigslist.org",,,,"Columbus GA","Alabama",,"(33.509851, -82.25833)"
"MCN",,,"US","georgia","macon","macon / warner robins","macon.craigslist.org",,,,"Macon/Warner Robins GA","Georgia",,"(33.509851, -82.25833)"
"GAZ",,,"US","georgia","nwga","northwest GA","nwga.craigslist.org",,,,"Northwest GA","Georgia",,"(35.04563, -85.30968)"
"SAV","default",,"US","georgia","savannah","savannah / hinesville","savannah.craigslist.org",,,,"Savannah/Hinesville GA","Georgia",,"(32.083541, -81.099834)"
"SAV",,,"US","georgia","statesboro","statesboro","statesboro.craigslist.org",,,,"Statesboro GA","Georgia",,"(32.448788, -81.783167)"
"GAZ",,,"US","georgia","valdosta","valdosta","valdosta.craigslist.org",,,,"Valdosta GA","Georgia",,"(30.832702, -83.278485)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","big","big island",,"Big Island HI","Hawaii",,"(19.896766, -155.582782)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","kau","kauai",,"Kauai HI","Hawaii",,"(19.896766, -155.582782)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","mau","maui",,"Maui HI","Hawaii",,"(19.896766, -155.582782)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","mol","molokai",,"Molokai HI","Hawaii",,"(19.896766, -155.582782)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","oah","oahu",,"Oahu HI","Hawaii",,"(19.896766, -155.582782)"
"BOI",,,"US","idaho","boise","boise","boise.craigslist.org",,,,"Boise ID","Idaho",,"(43.612631, -116.211076)"
"IDA",,,"US","idaho","eastidaho","east idaho","eastidaho.craigslist.org",,,,"East ID","Idaho",,"(42.871303, -112.445534)"
"IDZ",,,"US","idaho","lewiston","lewiston / clarkston","lewiston.craigslist.org",,,,"Lewiston/Clarkston ID","Idaho",,"(46.400409, -117.001189)"
"IDZ",,,"US","idaho","twinfalls","twin falls","twinfalls.craigslist.org",,,,"Twin Falls ID","Idaho",,"(42.562967, -114.460871)"
"BMI",,,"US","illinois","bn","bloomington-normal","bn.craigslist.org",,,,"Bloomington-Normal IL","Illinois",,"(40.484203, -88.993687)"
"ILZ",,,"US","illinois","carbondale","southern illinois","carbondale.craigslist.org",,,,"Southern IL","Illinois",,"(37.727273, -89.21675)"
"CMI",,,"US","illinois","chambana","champaign urbana","chambana.craigslist.org",,,,"Champaign Urbana IL","Illinois",,"(40.11642, -88.243383)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","chc","city of chicago",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nch","north chicagoland",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","wcl","west chicagoland",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","sox","south chicagoland",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nwi","northwest indiana",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nwc","northwest suburbs",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"DEC",,,"US","illinois","decatur","decatur","decatur.craigslist.org",,,,"Decatur IL","Illinois",,"(39.840315, -88.9548)"
"ILZ",,,"US","illinois","lasalle","la salle co","lasalle.craigslist.org",,,,"La Salle Co IL","Illinois",,"(41.436399, -88.941386)"
"ILZ",,,"US","illinois","mattoon","mattoon-charleston","mattoon.craigslist.org",,,,"Mattoon-Charleston IL","Illinois",,"(39.48309, -88.372825)"
"PIA",,,"US","illinois","peoria","peoria","peoria.craigslist.org",,,,"Peoria IL","Illinois",,"(40.693649, -89.588986)"
"ILZ",,,"US","illinois","quincy","western IL","quincy.craigslist.org",,,,"Western IL","Illinois",,"(41.779753, -89.688997)"
"RFD",,,"US","illinois","rockford","rockford","rockford.craigslist.org",,,,"Rockford IL","Illinois",,"(42.271131, -89.093995)"
"SPI",,,"US","illinois","springfieldil","springfield","springfieldil.craigslist.org",,,,"Springfield IL","Illinois",,"(39.781721, -89.650148)"
